Iteration	Posterior	Likelihood	Prior	alpha_cytb[1]	alpha_cytb[2]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates_mean	diversification	extinction_rate	ln_branch_rates_mean	speciation_rate	turnover	variance_mean
660	-9350.103	-9502.007	151.9034	0.034489	0.00395117	0.00039036	0.000463411	0.000482639	0.000280447	0.000321662	0.000180056	0.000735387	0.000316718	0.000333707	0.000591673	0.000499991	0.000426674	0.000628603	0.000480501	0.000350634	0.000531085	0.000188817	0.000414523	0.000318143	0.000347827	0.000165962	0.000538232	0.000315378	0.000847323	0.000485661	0.000111522	0.000377781	0.000812153	0.000317531	0.000210192	0.000189348	0.000246568	0.0003219869	-0.02515007	0.2056325	-8.041	0.1804824	1.139349	0.4269618
680	-9342.292	-9503.416	161.1233	0.0587099	0.0156843	0.000222502	0.000544339	0.000817539	0.00020889	0.000261229	0.000317125	0.000272952	0.00028523	0.000402808	0.000258992	0.000393021	0.000231535	0.000381838	0.000605152	0.000319828	0.000464317	0.000258609	0.000334482	0.000452706	0.000302445	0.000116829	0.000391265	0.000359858	0.00048148	0.000907133	0.000598329	0.00024308	0.000457838	0.000292238	0.000313978	0.00019955	0.00028591	0.0003260271	-0.0165142	0.07027034	-8.02853	0.05375614	1.307206	0.4097059
700	-9339.463	-9500.9	161.4367	0.0207289	0.0471736	0.00024931	0.000680468	0.000765676	0.000273019	0.000288702	0.000352457	0.000315588	0.000244664	0.000428717	0.000360442	0.000390214	0.000412252	0.000515863	0.000696863	0.000392082	0.000512849	0.000170311	0.000264157	0.000465095	0.000431124	0.000194379	0.000208233	0.000305806	0.000472142	0.000467185	0.000228581	0.000196319	0.000460757	0.000297719	0.000255429	0.000137103	0.000194149	0.0003173057	-0.02407878	0.07454011	-8.055645	0.05046133	1.477173	0.3476848
720	-9354.152	-9513.834	159.6821	0.014973	0.00778606	0.000250099	0.000492379	0.000458965	0.000230349	0.000313522	0.000387766	0.000238966	0.000192116	0.000344782	0.000300179	0.000437162	0.00022409	0.000296576	0.000308352	0.000328239	0.000372149	0.00030256	0.000198138	0.000459752	0.000381094	0.000147751	0.000243888	0.000530424	0.00047436	0.000739387	0.00032467	0.000258206	0.000630231	0.000364195	0.000186761	0.000140069	0.000449153	0.0003355329	-0.001235425	0.06580358	-7.999791	0.06456816	1.019134	0.2719107
740	-9340.975	-9504.884	163.9088	0.0345133	0.0197477	0.000234918	0.000638999	0.000511183	0.000280484	0.00023051	0.000322808	0.000188719	0.000409056	0.000431896	0.000184469	0.000270756	0.000271268	0.000413565	0.000384773	0.000252737	0.000391333	0.000255118	0.000425324	0.000446212	0.000316985	0.000127702	0.000363962	0.000284143	0.000460507	0.000548999	0.000185225	0.000407	0.000527444	0.000209385	0.000544056	0.000159294	0.000340231	0.0003069676	-0.01348919	0.05427671	-8.088768	0.04078751	1.330719	0.325565
760	-9337.241	-9503.161	165.92	0.0274289	0.0421285	0.000390378	0.000503918	0.000559653	0.000330212	0.000246735	0.000337771	0.000211212	0.000367841	0.000264427	0.000419689	0.000356234	0.000313088	0.000417647	0.000480534	0.000372999	0.00051611	0.000237421	0.000295856	0.000407108	0.000435509	0.000170653	0.000228096	0.000328698	0.000376724	0.000584934	0.000434894	0.000345532	0.000517398	0.000271605	0.000227009	0.000152379	0.000535845	0.0003125377	-0.02956696	0.06535367	-8.070785	0.0357867	1.8262	0.3374611
780	-9358.05	-9518.298	160.2481	0.035221	0.0839883	0.000278761	0.000478486	0.000494777	0.000345606	0.000651595	0.000333899	0.000430345	0.000402617	0.000443681	0.00035026	0.000737833	0.000647946	0.000392639	0.000661935	0.000374604	0.000586716	0.000353804	0.000394593	0.000343629	0.000232788	0.00025214	0.000307161	0.000307105	0.000300969	0.000850899	0.000387565	0.000327125	0.000652096	0.000317986	0.000412238	0.000224382	0.000418267	0.000419813	-0.01896623	0.06388668	-7.775701	0.04492044	1.422218	0.2348267
800	-9345.102	-9512.136	167.0346	0.119871	0.14479	0.000313165	0.000636467	0.000435704	0.000317897	0.000292393	0.00027003	0.000258608	0.000493414	0.000459902	0.000441528	0.000562582	0.000350848	0.000524687	0.000341227	0.000416094	0.000430236	0.000292278	0.000296017	0.000292046	0.000416847	0.000197149	0.00028178	0.000515777	0.000402917	0.000666383	0.000347641	0.000427028	0.000510703	0.000381924	0.000344974	0.000182846	0.000404472	0.000392183	0.04909789	0.04399729	-7.843782	0.09309518	0.4726055	0.2622476
820	-9354.7	-9514.036	159.3363	0.009617	0.105689	0.000389114	0.000543218	0.000677496	0.000236887	0.000222066	0.000257011	0.000557202	0.000422725	0.000392846	0.00034818	0.000459172	0.000350295	0.000413733	0.000449949	0.000365385	0.000704453	0.00026598	0.000448547	0.000183974	0.000258839	0.000194601	0.000316	0.000543649	0.000336653	0.000609325	0.000545969	0.000316926	0.000578899	0.000342733	0.000216273	0.000112724	0.000320222	0.0003672499	0.05999618	0.03198947	-7.909468	0.09198564	0.3477659	0.4120287
840	-9360.714	-9515.703	154.9886	0.0246102	0.125359	0.000307517	0.000550646	0.000566273	0.000253514	0.000262925	0.000309824	0.000385659	0.000211372	0.000326302	0.00035886	0.000648167	0.000297686	0.000496525	0.000425809	0.000395357	0.000651528	0.000312666	0.00047537	0.0001663	0.000546485	0.000172229	0.000339471	0.000771059	0.000366762	0.000527219	0.000516377	0.00019454	0.000504432	0.000437697	0.000472935	0.000154863	0.000728329	0.0004017044	0.04206772	0.1320388	-7.819794	0.1741065	0.7583794	0.371353
860	-9350.594	-9503.188	152.5942	0.0185797	0.113514	0.000313145	0.00054594	0.000706844	0.000379499	0.000251085	0.000390661	0.000353409	0.000245514	0.000246973	0.00039822	0.000522358	0.00039247	0.000419617	0.000422113	0.000478338	0.000613899	0.000194685	0.000665569	0.000235874	0.000412399	0.000113795	0.000261871	0.000813724	0.00100995	0.00064212	0.000151581	0.000185565	0.000681098	0.000241427	0.000199081	0.000458691	0.000457665	0.0004129636	-0.02663873	0.07500264	-7.792151	0.04836391	1.550798	0.4401963
880	-9344.51	-9497.36	152.8501	0.0379798	0.0563561	0.00049072	0.000965365	0.00106547	0.000383669	0.000194513	0.000344728	0.000189596	0.000286038	0.000583364	0.000296539	0.000522939	0.000337875	0.000681651	0.000802669	0.000436146	0.000578096	0.000278436	0.000455897	0.000183588	0.000494307	0.00020506	0.00038279	0.000578782	0.000736818	0.000750728	0.000166086	0.000404318	0.000460936	0.000418135	0.000280523	0.000287294	0.000308137	0.0003714966	-0.02645554	0.06829362	-7.897971	0.04183808	1.632332	0.5379359
900	-9345.964	-9504.234	158.2703	0.03096	0.0196771	0.000571854	0.000514923	0.00060892	0.000404403	0.000187126	0.000389288	0.000270979	0.000137059	0.000459327	0.000257556	0.000634363	0.000450357	0.000615993	0.000356027	0.00045316	0.000620334	0.000350399	0.00048202	0.000187977	0.000499495	0.000267131	0.000413211	0.00063028	0.000530269	0.0006198	0.000269917	0.000228652	0.000549928	0.000366581	0.000167293	0.000303247	0.000437226	0.0003399707	-0.03790582	0.1053708	-7.986651	0.06746498	1.561859	0.4203089
920	-9360.511	-9508.296	147.7844	0.0536837	0.0724727	0.000458061	0.00079073	0.000984117	0.000291248	0.000105743	0.000262159	0.000339615	0.000134678	0.000842027	0.000801699	0.000844914	0.000507972	0.000520193	0.000353172	0.000596961	0.000670844	0.000367621	0.000332435	0.000178651	0.000401116	0.000239783	0.0002307	0.000668416	0.000464001	0.000678522	0.000199815	0.00032748	0.000406537	0.000275208	0.000182498	0.000189047	0.00049096	0.0003107241	-0.03298159	0.04782611	-8.076605	0.01484452	3.221803	0.6314554
940	-9361.774	-9505.743	143.9685	0.0342837	0.124105	3.77579e-05	0.000735666	0.000956336	0.000304446	0.000273644	0.000162255	0.000575556	0.000185819	0.000230344	0.000231297	0.000442245	0.000294019	0.000468553	0.000703172	0.000509713	0.000186746	0.000287113	0.000713867	0.000328395	0.00096786	0.000136228	0.000119683	0.000654306	0.000466126	0.000572533	0.000272879	7.6108e-05	0.000332511	0.000248408	0.000156654	0.000316906	0.000423046	0.0002718362	-0.01501921	0.02194031	-8.210311	0.006921104	3.170059	0.5589782
