SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree675	-11352.2	0	0	10	0.27	168.888	179.05	25.892
tree676	-11352.2	0	0	10	0.272	165.504	178.37	28.594
tree677	-11352.2	0	0	10	0.251	167.394	179.831	28.186
tree678	-11352.2	0	0	10	0.264	140.792	154.029	28.973
tree679	-11352.2	0	0	10	0.268	142.695	158.76	31.797
tree680	-11352.2	0	0	10	0.251	166.503	178.966	28.212
tree681	-11352.2	0	0	10	0.253	148.034	160.373	28.086
tree682	-11352.2	0	0	10	0.243	147.037	158.861	27.581
tree683	-11352.2	0	0	10	0.308	142.195	158.409	31.906
tree684	-11352.2	0	0	10	0.317	153.295	167.136	29.524
tree685	-11352.2	0	0	10	0.295	138.666	152.426	29.465
tree686	-11352.2	0	0	10	0.292	143.044	157.931	30.595
tree687	-11352.2	0	0	10	0.287	141.852	155.075	28.936
tree688	-11352.2	0	0	10	0.292	154.797	168.438	29.349
tree689	-11352.2	0	0	10	0.267	168.753	180.461	27.441
tree690	-11352.2	0	0	10	0.288	164.928	176.242	27.026
tree691	-11352.2	0	0	10	0.277	154.617	169.058	30.164
tree692	-11352.2	0	0	10	0.263	153.711	168.138	30.164
tree693	-11352.2	0	0	10	0.26	154.038	167.884	29.586
tree694	-11352.2	0	0	10	0.281	164.711	176.855	27.863
tree695	-11352.2	0	0	10	0.296	164.846	177.878	28.736
tree696	-11352.2	0	0	10	0.273	166.657	177.985	27.055
tree697	-11352.2	0	0	10	0.261	137.279	151.19	29.65
tree698	-11352.2	0	0	10	0.31	166.895	177.646	26.441
tree699	-11352.2	0	0	10	0.261	149.635	160.942	27.046
tree700	-11352.2	0	0	10	0.283	168.973	180.99	27.734
tree701	-11352.2	0	0	10	0.27	140.108	153.89	29.512
tree702	-11352.2	0	0	10	0.265	156.141	169.397	28.991
tree703	-11352.2	0	0	10	0.25	137.747	152.292	30.295
tree704	-11352.2	0	0	10	0.272	166.323	176.445	25.85
tree705	-11352.2	0	0	10	0.28	155.032	168.074	28.762
tree706	-11352.2	0	0	10	0.294	154.341	168.623	29.988
tree707	-11352.2	0	0	10	0.27	145.176	158.164	28.718
tree708	-11352.2	0	0	10	0.272	166.453	178.158	27.433
tree709	-11352.2	0	0	10	0.284	168.913	179.856	26.659
tree710	-11352.2	0	0	10	0.305	168.003	179.467	27.159
tree711	-11352.2	0	0	10	0.289	167.847	179.365	27.229
tree712	-11352.2	0	0	10	0.306	170.157	181.316	26.853
tree713	-11352.2	0	0	10	0.294	167.206	180.253	28.753
tree714	-11352.2	0	0	10	0.261	154.418	167.447	28.768
tree715	-11352.2	0	0	10	0.271	139.813	154.737	30.653
tree716	-11352.2	0	0	10	0.269	155.797	168.482	28.416
tree717	-11352.2	0	0	10	0.275	163.677	175.657	27.705
tree718	-11352.2	0	0	10	0.307	166.64	177.542	26.595
tree719	-11352.2	0	0	10	0.261	139.246	154.683	31.176
tree720	-11352.2	0	0	10	0.305	166.165	176.978	26.508
tree721	-11352.2	0	0	10	0.294	156.358	169.586	28.934
tree722	-11352.2	0	0	10	0.255	155.423	168.911	29.233
tree723	-11352.2	0	0	10	0.287	169.028	180.181	26.866
tree724	-11352.2	0	0	10	0.288	163.498	174.812	27.026
tree725	-11352.2	0	0	10	0.267	161.805	173.711	27.639
tree726	-11352.2	0	0	10	0.293	167.157	178.83	27.38
tree727	-11352.2	0	0	10	0.271	167.253	179.333	27.809
tree728	-11352.2	0	0	10	0.231	142.69	156.538	29.617
tree729	-11352.2	0	0	10	0.257	169.922	180.064	25.885
tree730	-11352.2	0	0	10	0.312	164.652	176.958	27.994
tree731	-11352.2	0	0	10	0.268	139.739	153.266	29.259
tree732	-11352.2	0	0	10	0.278	145.866	158.709	28.565
tree733	-11352.2	0	0	10	0.272	144.183	158.452	29.997
tree734	-11352.2	0	0	10	0.286	139.181	156.275	32.808
tree735	-11352.2	0	0	10	0.257	141.537	154.85	29.056
tree736	-11352.2	0	0	10	0.289	152.383	166.794	30.122
tree737	-11352.2	0	0	10	0.255	135.43	149.943	30.258
tree738	-11352.2	0	0	10	0.258	155.256	167.735	28.221
tree739	-11352.2	0	0	10	0.276	140.808	156.62	31.536
tree740	-11352.2	0	0	10	0.276	141.871	157.573	31.426
tree741	-11352.2	0	0	10	0.264	154.28	167.458	28.914
tree742	-11352.2	0	0	10	0.264	167.729	180.25	28.257
tree743	-11352.2	0	0	10	0.286	154.504	167.569	28.779
tree744	-11352.2	0	0	10	0.3	151.542	165.927	30.085
tree745	-11352.2	0	0	10	0.285	167.662	178.082	26.135
tree746	-11352.2	0	0	10	0.262	153.3	166.477	28.915
tree747	-11352.2	0	0	10	0.276	169.39	179.47	25.804
tree748	-11352.2	0	0	10	0.258	150.917	165.19	30.015
tree749	-11352.2	0	0	10	0.297	166.028	177.435	27.11
tree750	-11352.2	0	0	10	0.246	135.602	149.243	29.395
tree751	-11352.2	0	0	10	0.268	153.82	167.936	29.848
tree752	-11352.2	0	0	10	0.277	157.684	171.237	29.276
tree753	-11352.2	0	0	10	0.276	154.209	168.542	30.057
tree754	-11352.2	0	0	10	0.263	154.497	169.145	30.385
tree755	-11352.2	0	0	10	0.244	168.911	179.811	26.656
tree756	-11352.2	0	0	10	0.261	147.568	158.825	26.996
tree757	-11352.2	0	0	10	0.259	163.537	175.979	28.183
tree758	-11352.2	0	0	10	0.278	168.421	179.286	26.587
tree759	-11352.2	0	0	10	0.26	153.525	164.571	26.786
tree760	-11352.2	0	0	10	0.278	146.937	158.717	27.502
tree761	-11352.2	0	0	10	0.268	166.292	178.826	28.266
tree762	-11352.2	0	0	10	0.26	136.841	150.524	29.423
tree763	-11352.2	0	0	10	0.271	155.251	166.343	26.821
tree764	-11352.2	0	0	10	0.312	155.623	168.668	28.733
tree765	-11352.2	0	0	10	0.285	155.25	167.583	28.048
tree766	-11352.2	0	0	10	0.27	168.435	179.469	26.764
tree767	-11352.2	0	0	10	0.289	168.371	179.072	26.412
tree768	-11352.2	0	0	10	0.259	138.449	154.341	31.633
tree769	-11352.2	0	0	10	0.302	153.287	166.978	29.389
tree770	-11352.2	0	0	10	0.276	136.365	152.603	31.962
tree771	-11352.2	0	0	10	0.288	154.767	168.649	29.594
tree772	-11352.2	0	0	10	0.303	151.524	163.846	28.019
tree773	-11352.2	0	0	10	0.287	152.718	167.01	30.005
tree774	-11352.2	0	0	10	0.292	165.375	178.305	28.638
tree775	-11352.2	0	0	10	0.277	158.081	170.904	28.546
tree776	-11352.2	0	0	10	0.268	142.27	154.369	27.831
tree777	-11352.2	0	0	10	0.265	151.043	165.478	30.17
tree778	-11352.2	0	0	10	0.236	139.995	153.168	28.937
tree779	-11352.2	0	0	10	0.283	154.173	167.25	28.794
tree780	-11352.2	0	0	10	0.255	168.817	180.37	27.298
tree781	-11352.2	0	0	10	0.286	165.301	177.333	27.746
tree782	-11352.2	0	0	10	0.245	146.993	159.005	27.767
tree783	-11352.2	0	0	10	0.257	168.742	179.717	26.718
tree784	-11352.2	0	0	10	0.265	151.606	165.602	29.731
tree785	-11352.2	0	0	10	0.3	171.358	182.468	26.81
tree786	-11352.2	0	0	10	0.277	141.213	154.219	28.729
tree787	-11352.2	0	0	10	0.262	154.937	167.883	28.684
tree788	-11352.2	0	0	10	0.278	167.571	178.477	26.628
tree789	-11352.2	0	0	10	0.297	156.221	168.051	27.533
tree790	-11352.2	0	0	10	0.269	167.422	179.172	27.481
tree791	-11352.2	0	0	10	0.284	165.92	177.609	27.405
tree792	-11352.2	0	0	10	0.304	164.355	177.146	28.487
tree793	-11352.2	0	0	10	0.279	152.673	166.848	29.896
tree794	-11352.2	0	0	10	0.29	152.1	164.054	27.664
tree795	-11352.2	0	0	10	0.254	153.622	167.411	29.535
tree796	-11352.2	0	0	10	0.285	139.659	153.103	29.159
tree797	-11352.2	0	0	10	0.249	136.727	152.762	31.786
tree798	-11352.2	0	0	10	0.31	171.334	182.958	27.314
tree799	-11352.2	0	0	10	0.274	146.916	156.507	25.317
tree800	-11352.2	0	0	10	0.235	167.754	179.233	27.244
tree801	-11352.2	0	0	10	0.255	169.115	181.135	27.765
tree802	-11352.2	0	0	10	0.289	155.553	167.117	27.275
tree803	-11352.2	0	0	10	0.253	155.178	168.248	28.817
tree804	-11352.2	0	0	10	0.277	167.128	179.566	28.161
tree805	-11352.2	0	0	10	0.282	154.062	167.635	29.291
tree806	-11352.2	0	0	10	0.268	140.436	154.223	29.519
tree807	-11352.2	0	0	10	0.302	157.14	170.696	29.254
tree808	-11352.2	0	0	10	0.249	164.924	177.262	28.089
tree809	-11352.2	0	0	10	0.246	169.155	180.254	26.853
tree810	-11352.2	0	0	10	0.284	165.948	178.434	28.202
tree811	-11352.2	0	0	10	0.282	169.398	180.384	26.704
tree812	-11352.2	0	0	10	0.298	164.373	175.412	26.741
tree813	-11352.2	0	0	10	0.273	166.46	177.833	27.1
tree814	-11352.2	0	0	10	0.27	145.418	156.248	26.56
tree815	-11352.2	0	0	10	0.297	154.208	166.413	27.908
tree816	-11352.2	0	0	10	0.261	163.123	175.629	28.245
tree817	-11352.2	0	0	10	0.238	155.368	168.446	28.84
tree818	-11352.2	0	0	10	0.262	167.436	179.968	28.27
tree819	-11352.2	0	0	10	0.293	166.329	179.144	28.522
tree820	-11352.2	0	0	10	0.248	154.778	167.885	28.859
tree821	-11352.2	0	0	10	0.25	148.726	160.236	27.26
tree822	-11352.2	0	0	10	0.285	165.686	177.853	27.882
tree823	-11352.2	0	0	10	0.294	169.444	180.611	26.873
tree824	-11352.2	0	0	10	0.273	154.296	169.121	30.552
tree825	-11352.2	0	0	10	0.277	170.1	181.538	27.161
tree826	-11352.2	0	0	10	0.288	153.149	167.257	29.82
tree827	-11352.2	0	0	10	0.267	140.167	155.764	31.33
tree828	-11352.2	0	0	10	0.272	167.312	176.762	25.178
tree829	-11352.2	0	0	10	0.242	140.24	155.862	31.38
tree830	-11352.2	0	0	10	0.272	156.534	170.77	29.964
tree831	-11352.2	0	0	10	0.251	157.505	170.625	28.869
tree832	-11352.2	0	0	10	0.264	136.297	149.01	28.449
tree833	-11352.2	0	0	10	0.28	142.666	157.295	30.349
tree834	-11352.2	0	0	10	0.259	140.915	158.062	32.888
tree835	-11352.2	0	0	10	0.25	170.019	181.791	27.522
tree836	-11352.2	0	0	10	0.295	155.845	169	28.86
tree837	-11352.2	0	0	10	0.261	169.493	181.071	27.317
tree838	-11352.2	0	0	10	0.277	142.511	157.093	30.305
tree839	-11352.2	0	0	10	0.247	167.694	179.699	27.758
tree840	-11352.2	0	0	10	0.267	170.397	180.617	25.953
tree841	-11352.2	0	0	10	0.283	166.014	178.12	27.823
tree842	-11352.2	0	0	10	0.295	168.478	178.418	25.645
tree843	-11352.2	0	0	10	0.286	157.87	171.714	29.558
tree844	-11352.2	0	0	10	0.245	153.059	164.55	27.246
tree845	-11352.2	0	0	10	0.273	152.488	165.107	28.346
tree846	-11352.2	0	0	10	0.263	157.243	170.713	29.207
tree847	-11352.2	0	0	10	0.26	156.682	170.233	29.291
tree848	-11352.2	0	0	10	0.25	155.324	168.015	28.441
tree849	-11352.2	0	0	10	0.257	155.807	168.416	28.352
tree850	-11352.2	0	0	10	0.247	145.889	157.167	27.031
tree851	-11352.2	0	0	10	0.263	149.402	161.399	27.734
tree852	-11352.2	0	0	10	0.276	139.951	154.44	30.213
tree853	-11352.2	0	0	10	0.245	153.714	168.853	30.894
tree854	-11352.2	0	0	10	0.249	147.105	160.192	28.838
tree855	-11352.2	0	0	10	0.23	153.464	166.797	29.103
tree856	-11352.2	0	0	10	0.275	162.49	174.258	27.493
tree857	-11352.2	0	0	10	0.269	166.095	177.414	27.05
tree858	-11352.2	0	0	10	0.298	166.549	177.57	26.723
tree859	-11352.2	0	0	10	0.263	167.293	179.245	27.689
tree860	-11352.2	0	0	10	0.331	153.947	168.517	30.239
tree861	-11352.2	0	0	10	0.274	165.964	177.312	27.074
tree862	-11352.2	0	0	10	0.289	168.792	179.603	26.522
tree863	-11352.2	0	0	10	0.264	158.404	171.983	29.315
tree864	-11352.2	0	0	10	0.267	157.036	169.776	28.473
tree865	-11352.2	0	0	10	0.287	165.622	178.565	28.656
tree866	-11352.2	0	0	10	0.291	165.43	176.143	26.422
tree867	-11352.2	0	0	10	0.268	157.846	171.069	28.955
tree868	-11352.2	0	0	10	0.258	162.928	175.528	28.342
tree869	-11352.2	0	0	10	0.334	167.117	179.904	28.453
tree870	-11352.2	0	0	10	0.268	166.368	177.697	27.061
tree871	-11352.2	0	0	10	0.246	170.157	181.607	27.204
tree872	-11352.2	0	0	10	0.282	148.508	160.661	27.871
tree873	-11352.2	0	0	10	0.271	152.494	166.364	29.599
tree874	-11352.2	0	0	10	0.286	139.298	154.4	30.816
tree875	-11352.2	0	0	10	0.261	165.578	178.429	28.59
tree876	-11352.2	0	0	10	0.258	165.237	177.651	28.156
tree877	-11352.2	0	0	10	0.279	152.995	167.576	30.302
tree878	-11352.2	0	0	10	0.295	152.713	166.775	29.767
tree879	-11352.2	0	0	10	0.277	167.525	177.475	25.673
tree880	-11352.2	0	0	10	0.296	166.588	177.765	26.881
tree881	-11352.2	0	0	10	0.267	168.906	179.951	26.778
tree882	-11352.2	0	0	10	0.257	152.34	166.148	29.551
tree883	-11352.2	0	0	10	0.254	156.71	169.901	28.937
tree884	-11352.2	0	0	10	0.261	166.2	176.356	25.895
tree885	-11352.2	0	0	10	0.314	165.2	178.077	28.563
tree886	-11352.2	0	0	10	0.259	143.631	159.67	31.78
tree887	-11352.2	0	0	10	0.251	137.537	152.731	30.943
tree888	-11352.2	0	0	10	0.314	165.439	177.13	27.377
tree889	-11352.2	0	0	10	0.296	156.505	169.571	28.77
tree890	-11352.2	0	0	10	0.247	139.093	153.192	29.852
tree891	-11352.2	0	0	10	0.253	168.506	179.058	26.299
tree892	-11352.2	0	0	10	0.279	166.948	178.504	27.277
tree893	-11352.2	0	0	10	0.281	157.26	170.3	28.759
tree894	-11352.2	0	0	10	0.285	156.089	167.998	27.624
tree895	-11352.2	0	0	10	0.29	166.673	177.909	26.946
tree896	-11352.2	0	0	10	0.278	156.563	169.159	28.318
tree897	-11352.2	0	0	10	0.283	153.704	165.278	27.291
tree898	-11352.2	0	0	10	0.267	148.315	159.867	27.285
tree899	-11352.2	0	0	10	0.278	162.947	175.605	28.38
tree900	-11352.2	0	0	10	0.268	140.714	155.206	30.224
tree901	-11352.2	0	0	10	0.259	150.171	163.059	28.629
tree902	-11352.2	0	0	10	0.271	165.666	177.532	27.595
tree903	-11352.2	0	0	10	0.268	166.184	178.838	28.386
tree904	-11352.2	0	0	10	0.29	163.53	176.132	28.312
tree905	-11352.2	0	0	10	0.269	162.889	175.672	28.514
tree906	-11352.2	0	0	10	0.252	147.744	159.81	27.814
tree907	-11352.2	0	0	10	0.248	138.587	151.98	29.145
tree908	-11352.2	0	0	10	0.264	168.747	179.778	26.767
tree909	-11352.2	0	0	10	0.285	170.897	182.486	27.304
tree910	-11352.2	0	0	10	0.262	137.662	152.05	30.126
tree911	-11352.2	0	0	10	0.268	154.737	167.871	28.866
tree912	-11352.2	0	0	10	0.257	147.438	158.901	27.206
tree913	-11352.2	0	0	10	0.292	168.302	179.84	27.246
tree914	-11352.2	0	0	10	0.273	154.037	167.281	28.971
tree915	-11352.2	0	0	10	0.269	140.967	156.818	31.582
tree916	-11352.2	0	0	10	0.278	157.09	170.449	29.081
tree917	-11352.2	0	0	10	0.245	154.592	168.02	29.183
tree918	-11352.2	0	0	10	0.288	165.644	176.967	27.035
tree919	-11352.2	0	0	10	0.255	143.808	158.146	30.083
tree920	-11352.2	0	0	10	0.27	153.499	166.574	28.805
tree921	-11352.2	0	0	10	0.271	153.887	168.166	30.008
tree922	-11352.2	0	0	10	0.266	139.576	153.2	29.358
tree923	-11352.2	0	0	10	0.286	136.263	150.65	30.101
tree924	-11352.2	0	0	10	0.274	167.775	179.759	27.71
tree925	-11352.2	0	0	10	0.29	168.681	179.898	26.927
tree926	-11352.2	0	0	10	0.265	169.536	181.315	27.514
tree927	-11352.2	0	0	10	0.27	145.777	158.724	28.677
tree928	-11352.2	0	0	10	0.272	156.46	168.446	27.714
tree929	-11352.2	0	0	10	0.294	155.718	168.236	28.224
tree930	-11352.2	0	0	10	0.249	167.037	177.436	26.15
tree931	-11352.2	0	0	10	0.273	165.955	177.98	27.752
tree932	-11352.2	0	0	10	0.28	165.448	177.692	27.964
tree933	-11352.2	0	0	10	0.256	155.472	169.69	29.962
tree934	-11352.2	0	0	10	0.274	141.694	157.3	31.332
tree935	-11352.2	0	0	10	0.292	167.307	179.88	28.281
tree936	-11352.2	0	0	10	0.283	165.92	177.464	27.261
tree937	-11352.2	0	0	10	0.264	165.153	176.007	26.59
tree938	-11352.2	0	0	10	0.275	168.19	179.624	27.159
tree939	-11352.2	0	0	10	0.259	153.083	165.997	28.655
tree940	-11352.2	0	0	10	0.257	171.663	183.377	27.457
tree941	-11352.2	0	0	10	0.284	156.48	169.565	28.801
tree942	-11352.2	0	0	10	0.278	152.381	166.272	29.613
tree943	-11352.2	0	0	10	0.267	147.42	159.287	27.6
tree944	-11352.2	0	0	10	0.305	166.315	176.648	26.028
tree945	-11352.2	0	0	10	0.289	167.787	179.726	27.65
tree946	-11352.2	0	0	10	0.254	135.751	150.603	30.598
tree947	-11352.2	0	0	10	0.272	156.854	169.761	28.635
tree948	-11352.2	0	0	10	0.29	156.22	170.098	29.588
