SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree295	-43.5585	8.11329e-06	0.161581	0.163121	0	4.973	4.197	15.224
tree296	-44.9066	0.000958465	0.248577	0.181818	0.003	7.612	3.402	11.787
tree297	-45.3116	1e-06	0.220944	0.197655	0	7.135	4.496	13.361
tree298	-42.3112	1e-06	0.149075	0.145093	0	4.503	3.868	15.365
tree299	-44.5407	1e-06	0.23974	0.155877	0	7.427	3.16	11.733
tree300	-44.0729	2.62126e-05	0.250602	0.125561	0	7.02	2.592	11.572
tree301	-42.3112	1e-06	0.149075	0.145093	0	4.54	3.97	15.43
tree302	-44.3215	3.45587e-06	0.220399	0.151554	0	6.431	3.528	13.097
tree303	-45.3116	1e-06	0.220944	0.197655	0	7.195	4.596	13.401
tree304	-44.0729	2.62126e-05	0.250602	0.125561	0	6.992	2.594	11.602
tree305	-40.7439	1e-06	0.195904	0.124663	0	6.436	3.044	12.608
tree306	-44.2669	1e-06	0.189517	0.180797	0	6.371	4.425	14.054
tree307	-44.3215	3.45587e-06	0.220399	0.151554	0	6.441	3.583	13.142
tree308	-42.8214	1e-06	0.155482	0.159789	0	5.628	4.422	14.794
tree309	-44.1346	1e-06	0.226395	0.176686	0	6.974	3.987	13.013
tree310	-44.2932	1e-06	0.185439	0.195274	0	6.421	5.175	14.754
tree311	-44.164	1e-06	0.215633	0.174332	0	6.675	3.947	13.272
tree312	-45.9447	1e-06	0.248485	0.205668	0	7.629	4.397	12.768
tree313	-43.1682	0.000108321	0.222465	0.120336	0	6.22	2.729	12.509
tree314	-44.6064	1e-06	0.203167	0.212781	0	7.292	4.671	13.379
tree315	-43.5307	0.00258667	0.273642	0.116632	0.002	7.32	2.069	10.747
tree316	-45.3116	1e-06	0.220944	0.197655	0	7.142	4.671	13.529
tree317	-42.8957	1e-06	0.212244	0.128072	0	6.18	2.865	12.685
tree318	-46.257	3.03609e-05	0.227341	0.205367	0.001	6.866	4.676	13.809
tree319	-44.2669	1e-06	0.189517	0.180797	0	6.47	4.481	14.011
tree320	-43.9632	3.29455e-06	0.226692	0.194585	0	7.672	4.096	12.424
tree321	-44.5111	5.55348e-06	0.210175	0.217474	0	8.2	5.205	13.005
tree322	-44.2669	1e-06	0.189517	0.180797	0	6.475	4.421	13.946
tree323	-45.9447	1e-06	0.248485	0.205668	0	7.485	4.296	12.811
tree324	-46.1319	1e-06	0.217389	0.206155	0	6.564	4.705	14.141
tree325	-40.715	1e-06	0.166756	0.150363	0	5.677	3.966	14.289
tree326	-43.3771	9.03608e-06	0.16892	0.155998	0	5.064	4.112	15.048
tree327	-43.7965	1e-06	0.157309	0.165561	0	4.845	4.419	15.574
tree328	-44.5048	1.66505e-05	0.269569	0.137393	0	7.468	2.784	11.316
tree329	-44.2669	1e-06	0.189517	0.180797	0	6.445	4.414	13.969
tree330	-43.5269	1e-06	0.211927	0.160288	0	7.228	3.517	12.289
tree331	-45.0943	1e-06	0.233313	0.193272	0	7.46	4.169	12.709
tree332	-44.6086	1e-06	0.219694	0.144777	0	6.234	3.48	13.246
tree333	-41.5475	1e-06	0.143283	0.0970019	0	4.252	2.578	14.326
tree334	-42.4542	3.58547e-06	0.159695	0.161854	0	4.863	4.3	15.437
tree335	-42.959	1e-06	0.182956	0.123987	0	6.009	2.859	12.85
tree336	-45.0352	1e-06	0.204001	0.198948	0	6.879	5.028	14.149
tree337	-45.7244	3.03191e-06	0.23514	0.188574	0	7.465	4.079	12.614
