SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree153	-47.9082	1e-06	0.31	0	0	8.808	0	7.192
tree154	-48.7836	1e-06	0.31	0	0	8.772	0	7.228
tree155	-47.985	1e-06	0.31	0	0	8.75	0	7.25
tree156	-48.7836	1e-06	0.31	0	0	8.724	0	7.276
tree157	-49.2257	1e-06	0.31	0	0	9.074	0	6.926
tree158	-48.7836	1e-06	0.31	0	0	8.737	0	7.263
tree159	-47.985	1e-06	0.31	0	0	8.706	0	7.294
tree160	-48.6203	1e-06	0.31	0	0	8.858	0	7.142
tree161	-49.1492	1e-06	0.31	0	0	9.077	0	6.923
tree162	-48.9738	1e-06	0.31	0	0	8.895	0	7.105
tree163	-48.0411	1e-06	0.31	0	0	8.898	0	7.102
tree164	-48.7836	1e-06	0.31	0	0	8.82	0	7.18
tree165	-47.985	1e-06	0.31	0	0	8.735	0	7.265
tree166	-48.9738	1e-06	0.31	0	0	8.796	0	7.204
tree167	-48.9738	1e-06	0.31	0	0	8.867	0	7.133
tree168	-48.9738	1e-06	0.31	0	0	8.874	0	7.126
tree169	-48.7794	1e-06	0.31	0	0	8.962	0	7.038
tree170	-48.9738	1e-06	0.31	0	0	8.853	0	7.147
tree171	-47.985	1e-06	0.31	0	0	8.732	0	7.268
tree172	-48.9738	1e-06	0.31	0	0	8.868	0	7.132
tree173	-48.9738	1e-06	0.31	0	0	8.88	0	7.12
tree174	-47.91	1e-06	0.31	0	0	8.719	0	7.281
tree175	-45.7282	1e-06	0.31	0	0	7.97	0	8.03
tree176	-47.91	1e-06	0.31	0	0	8.698	0	7.302
tree177	-42.7907	1e-06	0.21	0	0	6.324	0	9.676
tree178	-47.91	1e-06	0.31	0	0	8.663	0	7.337
tree179	-44.6464	1e-06	0.31	0	0	7.843	0	8.157
tree180	-47.91	1e-06	0.31	0	0	8.681	0	7.319
tree181	-46.0413	1e-06	0.31	0	0	8.119	0	7.881
tree182	-47.9082	1e-06	0.31	0	0	8.776	0	7.224
tree183	-47.91	1e-06	0.31	0	0	8.684	0	7.316
tree184	-47.8385	1e-06	0.31	0	0	8.743	0	7.257
tree185	-41.6055	1e-06	0.21	0	0	6.089	0	9.911
tree186	-48.9738	1e-06	0.31	0	0	8.831	0	7.169
tree187	-46.0413	1e-06	0.31	0	0	8.109	0	7.891
tree188	-47.985	1e-06	0.31	0	0	8.754	0	7.246
tree189	-45.7282	1e-06	0.31	0	0	7.919	0	8.081
tree190	-47.985	1e-06	0.31	0	0	8.697	0	7.303
tree191	-48.7794	1e-06	0.31	0	0	8.913	0	7.087
tree192	-46.9789	1e-06	0.31	0	0	8.056	0	7.944
tree193	-47.985	1e-06	0.31	0	0	8.742	0	7.258
tree194	-48.9738	1e-06	0.31	0	0	8.875	0	7.125
tree195	-47.985	1e-06	0.31	0	0	8.694	0	7.306
tree196	-47.985	1e-06	0.31	0	0	8.708	0	7.292
tree197	-48.1794	1e-06	0.31	0	0	8.645	0	7.355
tree198	-44.7214	1e-06	0.31	0	0	7.785	0	8.215
tree199	-47.985	1e-06	0.31	0	0	8.751	0	7.249
tree200	-47.8385	1e-06	0.31	0	0	8.763	0	7.237
tree201	-47.9082	1e-06	0.31	0	0	8.728	0	7.272
tree202	-46.0424	1e-06	0.287319	0	0	7.397	0	8.603
tree203	-48.6203	1e-06	0.31	0	0	8.877	0	7.123
tree204	-45.0193	1e-06	0.31	0	0	8.136	0	7.864
tree205	-48.7836	1e-06	0.31	0	0	8.754	0	7.246
tree206	-48.9738	1e-06	0.31	0	0	8.811	0	7.189
tree207	-46.3569	1e-06	0.286846	0	0	7.306	0	8.694
tree208	-48.7794	1e-06	0.31	0	0	8.934	0	7.066
tree209	-48.208	1e-06	0.31	0	0	9.015	0	6.985
tree210	-48.9738	1e-06	0.31	0	0	8.892	0	7.108
tree211	-48.9738	1e-06	0.31	0	0	8.864	0	7.136
tree212	-48.9738	1e-06	0.31	0	0	8.86	0	7.14
tree213	-44.8248	1e-06	0.31	0	0	7.827	0	8.173
tree214	-47.985	1e-06	0.31	0	0	8.718	0	7.282
tree215	-47.8385	1e-06	0.31	0	0	8.763	0	7.237
tree216	-45.0193	1e-06	0.31	0	0	8.147	0	7.853
tree217	-48.7836	1e-06	0.31	0	0	8.783	0	7.217
tree218	-48.6203	1e-06	0.31	0	0	8.808	0	7.192
tree219	-48.3105	1e-06	0.31	0	0	9.159	0	6.841
tree220	-46.3569	1e-06	0.286846	0	0	7.318	0	8.682
tree221	-48.3105	1e-06	0.31	0	0	9.146	0	6.854
tree222	-48.9738	1e-06	0.31	0	0	8.871	0	7.129
tree223	-48.7836	1e-06	0.31	0	0	8.771	0	7.229
tree224	-48.7836	1e-06	0.31	0	0	8.777	0	7.223
tree225	-48.7794	1e-06	0.31	0	0	8.93	0	7.07
tree226	-45.5349	1e-06	0.31	0	0	7.968	0	8.032
tree227	-47.985	1e-06	0.31	0	0	8.703	0	7.297
tree228	-44.7214	1e-06	0.31	0	0	7.827	0	8.173
tree229	-45.7282	1e-06	0.31	0	0	7.936	0	8.064
tree230	-37.8728	1e-06	0.181606	0	0	5.097	0	10.903
tree231	-48.9738	1e-06	0.31	0	0	8.882	0	7.118
tree232	-48.9738	1e-06	0.31	0	0	8.892	0	7.108
tree233	-45.7282	1e-06	0.31	0	0	7.87	0	8.13
tree234	-47.9082	1e-06	0.31	0	0	8.777	0	7.223
tree235	-46.7245	1e-06	0.31	0	0	8.211	0	7.789
tree236	-48.9738	1e-06	0.31	0	0	8.831	0	7.169
tree237	-48.9738	1e-06	0.31	0	0	8.819	0	7.181
tree238	-48.9738	1e-06	0.31	0	0	8.864	0	7.136
tree239	-43.4047	1e-06	0.280313	0	0	7.226	0	8.774
tree240	-47.985	1e-06	0.31	0	0	8.758	0	7.242
tree241	-49.2257	1e-06	0.31	0	0	9.124	0	6.876
tree242	-47.985	1e-06	0.31	0	0	8.749	0	7.251
tree243	-45.5349	1e-06	0.31	0	0	7.982	0	8.018
tree244	-48.9738	1e-06	0.31	0	0	8.912	0	7.088
tree245	-48.9738	1e-06	0.31	0	0	8.783	0	7.217
tree246	-48.9738	1e-06	0.31	0	0	8.863	0	7.137
tree247	-48.9738	1e-06	0.31	0	0	8.845	0	7.155
tree248	-47.985	1e-06	0.31	0	0	8.705	0	7.295
tree249	-47.985	1e-06	0.31	0	0	8.782	0	7.218
tree250	-48.9738	1e-06	0.31	0	0	8.853	0	7.147
tree251	-48.9738	1e-06	0.31	0	0	8.839	0	7.161
tree252	-45.7282	1e-06	0.31	0	0	7.925	0	8.075
tree253	-48.9738	1e-06	0.31	0	0	8.799	0	7.201
tree254	-48.9738	1e-06	0.31	0	0	8.883	0	7.117
tree255	-47.985	1e-06	0.31	0	0	8.739	0	7.261
tree256	-48.9738	1e-06	0.31	0	0	8.838	0	7.162
tree257	-48.7836	1e-06	0.31	0	0	8.791	0	7.209
tree258	-49.0751	1e-06	0.31	0	0	9.228	0	6.772
tree259	-48.6203	1e-06	0.31	0	0	8.86	0	7.14
tree260	-48.9738	1e-06	0.31	0	0	8.915	0	7.085
tree261	-47.985	1e-06	0.31	0	0	8.745	0	7.255
tree262	-48.9738	1e-06	0.31	0	0	8.821	0	7.179
tree263	-48.7836	1e-06	0.31	0	0	8.788	0	7.212
tree264	-45.7282	1e-06	0.31	0	0	7.908	0	8.092
tree265	-48.3105	1e-06	0.31	0	0	9.131	0	6.869
tree266	-48.9738	1e-06	0.31	0	0	8.859	0	7.141
tree267	-48.7836	1e-06	0.31	0	0	8.769	0	7.231
tree268	-47.985	1e-06	0.31	0	0	8.753	0	7.247
tree269	-49.2257	1e-06	0.31	0	0	9.099	0	6.901
tree270	-48.9738	1e-06	0.31	0	0	8.886	0	7.114
tree271	-46.0413	1e-06	0.31	0	0	8.115	0	7.885
tree272	-47.985	1e-06	0.31	0	0	8.692	0	7.308
tree273	-48.9738	1e-06	0.31	0	0	8.836	0	7.164
tree274	-48.9738	1e-06	0.31	0	0	8.828	0	7.172
tree275	-48.9738	1e-06	0.31	0	0	8.901	0	7.099
tree276	-45.9253	1e-06	0.288328	0	0	7.343	0	8.657
tree277	-48.7794	1e-06	0.31	0	0	8.946	0	7.054
tree278	-48.9738	1e-06	0.31	0	0	8.888	0	7.112
tree279	-48.9738	1e-06	0.31	0	0	8.846	0	7.154
tree280	-47.91	1e-06	0.31	0	0	8.695	0	7.305
tree281	-48.9738	1e-06	0.31	0	0	8.864	0	7.136
tree282	-43.4047	1e-06	0.280313	0	0	7.244	0	8.756
tree283	-48.7836	1e-06	0.31	0	0	8.799	0	7.201
tree284	-49.2257	1e-06	0.31	0	0	9.045	0	6.955
tree285	-48.9738	1e-06	0.31	0	0	8.846	0	7.154
tree286	-48.7836	1e-06	0.31	0	0	8.765	0	7.235
tree287	-48.0715	1e-06	0.31	0	0	8.769	0	7.231
tree288	-48.9738	1e-06	0.31	0	0	8.902	0	7.098
tree289	-48.9738	1e-06	0.31	0	0	8.906	0	7.094
tree290	-45.7282	1e-06	0.31	0	0	7.876	0	8.124
tree291	-47.985	1e-06	0.31	0	0	8.689	0	7.311
tree292	-48.7836	1e-06	0.31	0	0	8.771	0	7.229
tree293	-48.7836	1e-06	0.31	0	0	8.762	0	7.238
tree294	-47.91	1e-06	0.31	0	0	8.74	0	7.26
tree295	-47.985	1e-06	0.31	0	0	8.723	0	7.277
tree296	-46.7245	1e-06	0.31	0	0	8.231	0	7.769
tree297	-48.7836	1e-06	0.31	0	0	8.804	0	7.196
tree298	-48.9738	1e-06	0.31	0	0	8.914	0	7.086
tree299	-46.0424	1e-06	0.287319	0	0	7.414	0	8.586
tree300	-46.0413	1e-06	0.31	0	0	8.155	0	7.845
tree301	-48.9738	1e-06	0.31	0	0	8.862	0	7.138
tree302	-48.9738	1e-06	0.31	0	0	8.846	0	7.154
tree303	-48.7836	1e-06	0.31	0	0	8.705	0	7.295
tree304	-46.0413	1e-06	0.31	0	0	8.126	0	7.874
tree305	-46.0424	1e-06	0.287319	0	0	7.413	0	8.587
tree306	-48.9738	1e-06	0.31	0	0	8.871	0	7.129
tree307	-48.9738	1e-06	0.31	0	0	8.878	0	7.122
tree308	-47.9619	1e-06	0.31	0	0	8.866	0	7.134
tree309	-48.9738	1e-06	0.31	0	0	8.918	0	7.082
tree310	-48.7794	1e-06	0.31	0	0	8.898	0	7.102
tree311	-48.9738	1e-06	0.31	0	0	8.875	0	7.125
tree312	-48.7836	1e-06	0.31	0	0	8.766	0	7.234
tree313	-45.7282	1e-06	0.31	0	0	7.899	0	8.101
tree314	-48.7836	1e-06	0.31	0	0	8.758	0	7.242
tree315	-44.1191	1e-06	0.31	0	0	8.128	0	7.872
tree316	-48.7836	1e-06	0.31	0	0	8.773	0	7.227
tree317	-45.7282	1e-06	0.31	0	0	7.878	0	8.122
tree318	-48.0715	1e-06	0.31	0	0	8.799	0	7.201
tree319	-48.9738	1e-06	0.31	0	0	8.894	0	7.106
tree320	-50.353	1e-06	0.51	0	0	9.759	0	6.241
tree321	-47.9082	1e-06	0.31	0	0	8.747	0	7.253
tree322	-48.9738	1e-06	0.31	0	0	8.856	0	7.144
tree323	-48.7836	1e-06	0.31	0	0	8.773	0	7.227
tree324	-47.91	1e-06	0.31	0	0	8.725	0	7.275
tree325	-48.9738	1e-06	0.31	0	0	8.849	0	7.151
tree326	-47.985	1e-06	0.31	0	0	8.718	0	7.282
tree327	-48.3105	1e-06	0.31	0	0	9.108	0	6.892
tree328	-46.0413	1e-06	0.31	0	0	8.123	0	7.877
tree329	-48.9738	1e-06	0.31	0	0	8.894	0	7.106
tree330	-46.7468	1e-06	0.31	0	0	8.205	0	7.795
tree331	-47.9082	1e-06	0.31	0	0	8.767	0	7.233
tree332	-49.2257	1e-06	0.31	0	0	9.076	0	6.924
tree333	-48.1794	1e-06	0.31	0	0	8.62	0	7.38
tree334	-48.7794	1e-06	0.31	0	0	8.947	0	7.053
tree335	-45.2667	1e-06	0.284187	0	0	7.26	0	8.74
tree336	-47.9082	1e-06	0.31	0	0	8.79	0	7.21
tree337	-46.6297	1e-06	0.31	0	0	7.83	0	8.17
tree338	-41.6055	1e-06	0.21	0	0	6.087	0	9.913
tree339	-47.91	1e-06	0.31	0	0	8.694	0	7.306
tree340	-47.985	1e-06	0.31	0	0	8.729	0	7.271
tree341	-48.4323	1e-06	0.31	0	0	9.3	0	6.7
tree342	-48.9738	1e-06	0.31	0	0	8.861	0	7.139
tree343	-47.985	1e-06	0.31	0	0	8.724	0	7.276
tree344	-48.9738	1e-06	0.31	0	0	8.856	0	7.144
tree345	-46.0413	1e-06	0.31	0	0	8.061	0	7.939
tree346	-48.7836	1e-06	0.31	0	0	8.774	0	7.226
tree347	-41.6055	1e-06	0.21	0	0	6.085	0	9.915
tree348	-48.9738	1e-06	0.31	0	0	8.834	0	7.166
tree349	-48.7836	1e-06	0.31	0	0	8.757	0	7.243
tree350	-48.9738	1e-06	0.31	0	0	8.862	0	7.138
tree351	-48.7836	1e-06	0.31	0	0	8.759	0	7.241
tree352	-48.9738	1e-06	0.31	0	0	8.857	0	7.143
tree353	-48.7836	1e-06	0.31	0	0	8.799	0	7.201
tree354	-48.9738	1e-06	0.31	0	0	8.829	0	7.171
tree355	-45.7282	1e-06	0.31	0	0	7.9	0	8.1
tree356	-49.2257	1e-06	0.31	0	0	9.058	0	6.942
tree357	-48.9738	1e-06	0.31	0	0	8.831	0	7.169
tree358	-45.7282	1e-06	0.31	0	0	7.93	0	8.07
tree359	-46.3569	1e-06	0.286846	0	0	7.314	0	8.686
tree360	-47.8385	1e-06	0.31	0	0	8.738	0	7.262
tree361	-47.985	1e-06	0.31	0	0	8.723	0	7.277
tree362	-45.7282	1e-06	0.31	0	0	7.906	0	8.094
tree363	-48.9263	1e-06	0.31	0	0	8.934	0	7.066
tree364	-43.4047	1e-06	0.280313	0	0	7.237	0	8.763
tree365	-48.7836	1e-06	0.31	0	0	8.784	0	7.216
tree366	-47.3709	1e-06	0.31	0	0	9.044	0	6.956
tree367	-48.9819	1e-06	0.31	0	0	9.132	0	6.868
tree368	-48.9738	1e-06	0.31	0	0	8.862	0	7.138
tree369	-47.9082	1e-06	0.31	0	0	8.748	0	7.252
tree370	-48.9738	1e-06	0.31	0	0	8.844	0	7.156
tree371	-48.9738	1e-06	0.31	0	0	8.882	0	7.118
tree372	-47.91	1e-06	0.31	0	0	8.705	0	7.295
tree373	-48.0411	1e-06	0.31	0	0	8.923	0	7.077
tree374	-50.016	1e-06	0.51	0	0	9.694	0	6.306
tree375	-47.91	1e-06	0.31	0	0	8.738	0	7.262
tree376	-48.9738	1e-06	0.31	0	0	8.844	0	7.156
tree377	-47.985	1e-06	0.31	0	0	8.697	0	7.303
tree378	-47.985	1e-06	0.31	0	0	8.713	0	7.287
tree379	-47.8385	1e-06	0.31	0	0	8.735	0	7.265
tree380	-48.0715	1e-06	0.31	0	0	8.788	0	7.212
tree381	-47.9082	1e-06	0.31	0	0	8.746	0	7.254
tree382	-48.9738	1e-06	0.31	0	0	8.84	0	7.16
tree383	-46.1871	1e-06	0.295986	0	0	7.453	0	8.547
tree384	-47.985	1e-06	0.31	0	0	8.735	0	7.265
tree385	-46.0424	1e-06	0.287319	0	0	7.373	0	8.627
tree386	-48.7836	1e-06	0.31	0	0	8.783	0	7.217
tree387	-49.8877	1e-06	0.51	0	0	9.634	0	6.366
tree388	-48.7836	1e-06	0.31	0	0	8.752	0	7.248
tree389	-45.7282	1e-06	0.31	0	0	7.83	0	8.17
tree390	-47.985	1e-06	0.31	0	0	8.762	0	7.238
tree391	-45.9253	1e-06	0.288328	0	0	7.4	0	8.6
tree392	-48.9738	1e-06	0.31	0	0	8.86	0	7.14
tree393	-48.7794	1e-06	0.31	0	0	8.886	0	7.114
tree394	-47.985	1e-06	0.31	0	0	8.731	0	7.269
tree395	-47.3709	1e-06	0.31	0	0	9.046	0	6.954
tree396	-46.6297	1e-06	0.31	0	0	7.797	0	8.203
tree397	-48.9738	1e-06	0.31	0	0	8.85	0	7.15
tree398	-47.91	1e-06	0.31	0	0	8.706	0	7.294
tree399	-47.91	1e-06	0.31	0	0	8.739	0	7.261
tree400	-48.7836	1e-06	0.31	0	0	8.737	0	7.263
tree401	-48.9738	1e-06	0.31	0	0	8.836	0	7.164
tree402	-42.7269	1e-06	0.280313	0	0	7.216	0	8.784
tree403	-47.3296	1e-06	0.31	0	0	9.019	0	6.981
