SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree822	-11355	0.01	0	0	0.3	418.5	414.581	11.781
tree823	-11354.9	0.01	0	0	0.27	423.584	419.9	12.046
tree824	-11355	0.01	0	0	0.307	427.652	424.033	12.074
tree825	-11354.9	0.01	0	0	0.269	426.36	422.434	11.805
tree826	-11355	0.01	0	0	0.287	423.444	419.694	11.963
tree827	-11354.9	0.01	0	0	0.299	441.635	438.712	12.778
tree828	-11354.9	0.01	0	0	0.315	432.432	429.026	12.279
tree829	-11354.9	0.01	0	0	0.25	436.245	432.921	12.426
tree830	-11354.9	0.01	0	0	0.309	434.398	431.175	12.468
tree831	-11354.9	0.01	0	0	0.316	431.489	428.182	12.377
tree832	-11354.9	0.01	0	0	0.262	450.815	448.01	12.933
tree833	-11354.9	0.01	0	0	0.264	443.311	440.202	12.627
tree834	-11355	0.01	0	0	0.275	433.262	429.747	12.21
tree835	-11354.9	0.01	0	0	0.28	424.173	420.427	11.974
tree836	-11354.9	0.01	0	0	0.3	429.113	425.61	12.197
tree837	-11354.9	0.01	0	0	0.316	424.212	420.371	11.843
tree838	-11354.9	0.01	0	0	0.28	453.561	450.724	12.883
tree839	-11355	0.01	0	0	0.304	426.517	422.748	11.927
tree840	-11354.9	0.01	0	0	0.293	423.486	419.622	11.843
tree841	-11355	0.01	0	0	0.305	424.21	420.364	11.849
tree842	-11354.9	0.01	0	0	0.292	433.009	429.526	12.225
tree843	-11355	0.01	0	0	0.285	428.153	424.232	11.794
tree844	-11354.9	0.01	0	0	0.274	434.674	431.323	12.375
tree845	-11354.9	0.01	0	0	0.268	434.408	430.814	12.138
tree846	-11354.9	0.01	0	0	0.239	434.65	431.349	12.46
tree847	-11354.9	0.01	0	0	0.311	431.259	427.724	12.154
tree848	-11354.9	0.01	0	0	0.263	438.138	434.597	12.196
tree849	-11354.9	0.01	0	0	0.29	431.565	428.158	12.303
tree850	-11354.9	0.01	0	0	0.31	442.626	439.709	12.773
tree851	-11354.9	0.01	0	0	0.271	442.05	438.846	12.525
tree852	-11354.9	0.01	0	0	0.253	445.21	441.997	12.534
tree853	-11355	0.01	0	0	0.285	430.304	426.562	11.973
tree854	-11354.9	0.01	0	0	0.278	436.465	433.223	12.48
tree855	-11355	0.01	0	0	0.298	432.329	428.87	12.243
tree856	-11354.9	0.01	0	0	0.311	423.747	419.896	11.838
