SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree172	-11354.9	0	0	0	0.251	423.018	419.291	12.022
tree173	-11354.9	0	0	0	0.27	427.049	423.231	11.912
tree174	-11354.9	0	0	0	0.28	425.823	422.018	11.915
tree175	-11354.9	0	0	0	0.265	443.718	440.572	12.589
tree176	-11354.9	0	0	0	0.277	436.415	432.937	12.245
tree177	-11354.9	0	0	0	0.269	443.881	440.922	12.772
tree178	-11354.9	0	0	0	0.29	427.34	423.441	11.811
tree179	-11354.9	0	0	0	0.273	454.63	451.795	12.892
tree180	-11354.9	0	0	0	0.282	433.784	430.381	12.315
tree181	-11354.9	0	0	0	0.273	454.479	451.623	12.871
tree182	-11354.9	0	0	0	0.298	442.662	439.577	12.617
tree183	-11354.9	0	0	0	0.268	430.675	427.055	12.112
tree184	-11354.9	0	0	0	0.271	436.416	433.093	12.406
tree185	-11354.9	0	0	0	0.256	428.032	424.51	12.222
tree186	-11354.9	0	0	0	0.263	432.837	429.427	12.327
tree187	-11354.9	0	0	0	0.259	447.648	444.402	12.495
tree188	-11354.9	0	0	0	0.278	431.32	427.693	12.095
tree189	-11354.9	0	0	0	0.262	450.54	447.57	12.768
tree190	-11354.9	0	0	0	0.259	427.137	423.286	11.89
tree191	-11354.9	0	0	0	0.275	438.419	435.182	12.488
tree192	-11354.9	0	0	0	0.302	431.437	427.935	12.196
tree193	-11354.9	0	0	0	0.309	428.056	424.607	12.242
tree194	-11354.9	0	0	0	0.261	438.473	435.227	12.493
tree195	-11354.9	0	0	0	0.301	419.536	415.66	11.823
tree196	-11354.9	0	0	0	0.298	418.959	415.098	11.841
tree197	-11354.9	0	0	0	0.278	431.836	428.451	12.337
tree198	-11354.9	0	0	0	0.269	440.913	437.825	12.643
tree199	-11354.9	0	0	0	0.303	430.547	426.826	11.976
tree200	-11354.9	0	0	0	0.305	437.424	434.167	12.438
tree201	-11354.9	0	0	0	0.286	429.86	426.185	12.039
tree202	-11354.9	0	0	0	0.279	422.047	418.058	11.732
tree203	-11354.9	0	0	0	0.281	440.286	437.075	12.508
tree204	-11354.9	0	0	0	0.268	449.194	446.241	12.779
tree205	-11354.9	0	0	0	0.282	437.354	434.084	12.448
tree206	-11354.9	0	0	0	0.286	424.421	420.679	11.972
tree207	-11354.9	0	0	0	0.315	430.46	426.928	12.153
tree208	-11354.9	0	0	0	0.273	439.379	435.899	12.247
tree209	-11354.9	0	0	0	0.275	450.454	447.703	12.974
tree210	-11354.9	0	0	0	0.276	432.622	429.073	12.175
tree211	-11354.9	0	0	0	0.291	444.121	440.912	12.5
tree212	-11354.9	0	0	0	0.264	425.173	421.275	11.838
tree213	-11354.9	0	0	0	0.276	445.208	442.167	12.683
tree214	-11354.9	0	0	0	0.299	424.868	421.095	11.928
tree215	-11354.9	0	0	0	0.279	429.085	425.563	12.199
tree216	-11354.9	0	0	0	0.288	448.44	445.478	12.75
tree217	-11354.9	0	0	0	0.279	431.927	428.495	12.289
tree218	-11354.9	0	0	0	0.29	445.643	442.389	12.456
tree219	-11354.9	0	0	0	0.269	447.255	444.256	12.732
tree220	-11354.9	0	0	0	0.296	427.164	423.696	12.236
tree221	-11354.9	0	0	0	0.308	433.349	429.707	12.05
tree222	-11354.9	0	0	0	0.309	421.446	417.367	11.612
tree223	-11354.9	0	0	0	0.282	426.285	422.359	11.792
tree224	-11354.9	0	0	0	0.301	425.803	422.129	12.025
tree225	-11354.9	0	0	0	0.275	426.936	423.53	12.319
tree226	-11354.9	0	0	0	0.285	454.794	452.167	13.088
tree227	-11354.9	0	0	0	0.338	423.545	419.696	11.813
tree228	-11354.9	0	0	0	0.27	440.072	436.79	12.448
tree229	-11354.9	0	0	0	0.254	448.707	445.844	12.883
tree230	-11354.9	0	0	0	0.262	445.084	442.152	12.806
tree231	-11354.9	0	0	0	0.273	424.422	420.551	11.856
tree232	-11354.9	0	0	0	0.293	435.962	432.656	12.401
tree233	-11354.9	0	0	0	0.277	445.72	442.572	12.575
tree234	-11354.9	0	0	0	0.272	427.91	424.125	11.943
