Iteration	Posterior	Likelihood	Prior	alpha_cytb[1]	alpha_cytb[2]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates_mean	diversification	extant_mrca	extinction_rate	ln_branch_rates_mean	speciation_rate	turnover	variance_mean
440	-5283.844	-5229.108	-54.73607	0.118235	0.124275	3.346	3.93836	4.16921	4.4663	3.19875	3.76487	3.49973	3.82765	3.5898	3.67823	3.98606	3.16155	3.62433	3.94027	3.53239	3.91237	3.2775	3.68539	3.86953	3.74392	3.50466	3.59501	3.31151	3.92688	3.64727	3.86841	3.59395	3.78439	3.3124	3.69543	3.77084	3.41703	3.606778	-0.4006379	69.97785	0.5106934	1.282815	0.1100555	4.640327	0.06599875
460	-5270.457	-5222.092	-48.36515	0.123468	0.121432	3.17982	3.48606	3.00174	3.16769	3.90571	3.46299	3.39231	3.24413	3.35354	3.10314	3.4186	3.46744	3.64413	3.42369	3.1817	3.72831	3.68019	3.13997	3.11481	3.33743	3.12828	3.58817	3.41195	3.74357	2.99253	3.47364	3.62844	3.68559	3.47524	3.53867	3.46137	3.69803	3.506835	-0.3832157	71.40676	0.4051952	1.254714	0.02197951	18.43514	0.06830422
480	-5290.638	-5215.51	-75.12785	0.122553	0.124157	4.16806	3.80908	3.78697	3.36405	3.2423	3.69216	3.42888	3.48641	3.25327	4.01301	4.44683	2.61167	4.35108	4.12092	2.68814	2.95126	3.46182	3.60992	2.36834	3.03536	2.67371	3.58828	3.45684	2.20592	3.36564	3.01264	3.05205	3.80743	3.33518	3.6961	4.0517	3.6759	3.459053	-0.2846502	67.00304	0.2939637	1.240995	0.009313445	31.56336	0.1696391
500	-5217.655	-5149.041	-68.61456	0.147917	0.111582	1.36846	1.25924	1.22414	1.46245	3.19362	1.77499	1.32536	1.5956	1.22999	1.41987	2.28097	0.641673	2.23101	1.99742	1.06483	2.45759	1.55805	1.81447	0.925803	1.05952	1.78147	1.97669	1.72422	1.32105	0.762153	2.53395	1.08664	1.44228	1.59491	1.41013	1.13741	1.52846	1.625984	-0.2914134	68.92857	0.3208111	0.486113	0.02939768	10.9128	0.3503306
520	-5056.352	-5017.724	-38.62837	0.173646	0.108326	0.381189	0.335264	0.299286	0.291845	0.425662	0.651385	0.295842	0.48417	0.130388	0.290672	0.268408	0.0684774	0.929981	0.320302	0.371607	1.1515	0.324833	0.308042	0.163843	0.177069	0.725447	0.462352	0.258507	0.367621	0.0751699	0.359664	0.129054	0.449238	0.345184	0.509824	0.20717	0.249447	0.3519513	-0.5336274	73.7	0.6795129	-1.044262	0.1458855	4.657852	0.6223706
540	-4934.046	-4930.296	-3.74981	0.272209	0.216286	0.121713	0.0525026	0.0476765	0.0765447	0.0856835	0.204804	0.162013	0.0610539	0.0341053	0.07896	0.0551943	0.00714562	0.107421	0.0765326	0.0906994	0.200341	0.0729821	0.081464	0.124987	0.0825401	0.210119	0.0982937	0.11134	0.0919299	0.00725486	0.108818	0.0420668	0.104163	0.0952734	0.0158159	0.0410612	0.209101	0.08294714	-0.4631413	67.84714	0.541915	-2.489552	0.07877363	6.879396	0.8393879
560	-4914.499	-4911.65	-2.849298	0.283866	0.232047	0.0355054	0.0634378	0.0692677	0.0561411	0.0600545	0.136172	0.0644488	0.0827736	0.0508511	0.0444318	0.112497	0.00228105	0.0587624	0.0639416	0.0176897	0.122556	0.0365034	0.0762249	0.0197237	0.151702	0.103209	0.147059	0.0524666	0.0488359	0.00403598	0.0623958	0.0724305	0.120302	0.121972	0.025136	0.11172	0.114713	0.05997712	-0.5844627	98.60033	0.6963526	-2.813792	0.1118899	6.223553	0.6997969
580	-4907.022	-4914.04	7.018888	0.241586	0.228131	0.0461986	0.0294646	0.0639131	0.164011	0.0402411	0.135441	0.0691224	0.0502648	0.0256518	0.0307095	0.0710311	0.00475944	0.247704	0.0714631	0.0188645	0.15028	0.029089	0.0323348	0.131695	0.0644212	0.0394537	0.139257	0.0216719	0.0439687	0.00306626	0.0324659	0.0194953	0.0749861	0.0329003	0.0148029	0.0166224	0.0626439	0.04067318	-0.3483043	82.71066	0.4596524	-3.202186	0.1113481	4.128067	0.8394126
600	-4888.978	-4903.458	14.4798	0.286865	0.224466	0.0319106	0.0338519	0.0800765	0.0200439	0.0538839	0.076892	0.042208	0.0761604	0.0323449	0.0345637	0.0495128	0.00244214	0.0468997	0.0600019	0.029271	0.0557053	0.0363291	0.0272938	0.0211106	0.110113	0.0937467	0.099483	0.0278008	0.0373928	0.00305066	0.0300529	0.0173705	0.0665028	0.0104013	0.0203039	0.0134624	0.0213851	0.03469282	-0.4094542	99.44961	0.4922381	-3.361223	0.08278383	5.946065	0.8005313
620	-4888.534	-4906.512	17.97717	0.262022	0.218742	0.0267417	0.0376929	0.0580681	0.0279514	0.0732639	0.0877344	0.0385002	0.0679323	0.0282347	0.0234609	0.055408	0.00317803	0.0626151	0.0725008	0.0159555	0.0499125	0.0329579	0.0180943	0.0201151	0.0186	0.0499237	0.0532506	0.0500277	0.0406237	0.0066719	0.0370527	0.0488886	0.0931682	0.0224301	0.0597084	0.034294	0.0258855	0.03597216	-0.3533869	76.49572	0.4873007	-3.32501	0.1339138	3.638913	0.6410158
640	-4895.237	-4920.243	25.00665	0.331515	0.230784	0.0230152	0.0285851	0.0567242	0.0595814	0.0464599	0.0520649	0.025346	0.0468105	0.0131882	0.0177856	0.0529933	0.00489898	0.085197	0.0443926	0.00924358	0.0413132	0.0420134	0.0137816	0.038405	0.0143614	0.0644861	0.0309067	0.0711669	0.0390485	0.00544408	0.033099	0.0246776	0.0363737	0.0217718	0.0207187	0.0343406	0.0224676	0.03315264	-0.2657083	68.92426	0.3511575	-3.406633	0.08544911	4.109551	0.610723
660	-4882.43	-4906.198	23.76727	0.264609	0.193735	0.0246212	0.0260092	0.0665018	0.0144242	0.0350354	0.0543196	0.0228117	0.026119	0.0183242	0.0182432	0.0240586	0.00655584	0.0226955	0.0438102	0.0182778	0.0564734	0.0363755	0.0210542	0.031896	0.0461018	0.0996782	0.0536909	0.0693396	0.084963	0.00283716	0.0336386	0.042075	0.0412117	0.016919	0.05344	0.0272845	0.0326207	0.02773172	-0.2448528	68.15208	0.2993738	-3.585178	0.05452097	5.490985	0.7127834
