SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree441	-65.7774	0.283197	0	0.763737	6.384	0	28.537	38.153
tree442	-65.8073	0.281707	0	0.760745	6.427	0	28.681	38.254
tree443	-75.9076	0.316496	0	0.856849	7.448	0	36.286	44.838
tree444	-65.8713	0.301294	0	0.790058	6.519	0	29.57	39.051
tree445	-73.5295	0.31561	0	0.834562	7.383	0	33.824	42.441
tree446	-66.3029	0.280702	0	0.758245	6.381	0	28.516	38.135
tree447	-72.246	0.309471	0	0.818562	7.397	0	32.824	41.427
tree448	-62.4574	0.289792	0	0.757673	6.383	0	26.547	36.164
tree449	-72.246	0.309471	0	0.818562	7.39	0	32.796	41.406
tree450	-65.8073	0.281707	0	0.760745	6.374	0	28.526	38.152
tree451	-73.2108	0.315562	0	0.837696	7.443	0	33.969	42.526
tree452	-67.3318	0.299006	0	0.792975	6.646	0	29.934	39.288
tree453	-72.911	0.317293	0	0.847886	7.41	0	33.918	42.508
tree454	-65.8073	0.281707	0	0.760745	6.409	0	28.679	38.27
tree455	-65.4756	0.287161	0	0.773267	6.386	0	28.537	38.151
tree456	-71.5648	0.312636	0	0.831769	7.42	0	32.993	41.573
tree457	-65.8073	0.281707	0	0.760745	6.384	0	28.549	38.165
tree458	-71.9439	0.312326	0	0.827731	7.428	0	33.007	41.579
tree459	-65.8073	0.281707	0	0.760745	6.388	0	28.568	38.18
tree460	-66.3029	0.280702	0	0.758245	6.397	0	28.547	38.15
tree461	-65.8073	0.281707	0	0.760745	6.37	0	28.515	38.145
tree462	-71.9439	0.312326	0	0.827731	7.365	0	32.776	41.411
tree463	-65.7774	0.283197	0	0.763737	6.382	0	28.542	38.16
tree464	-65.8073	0.281707	0	0.760745	6.388	0	28.577	38.189
tree465	-72.0568	0.307985	0	0.823439	7.388	0	32.886	41.498
tree466	-71.9439	0.312326	0	0.827731	7.418	0	32.853	41.435
tree467	-71.8679	0.314764	0	0.829878	7.424	0	32.861	41.437
tree468	-70.6	0.327676	0	0.856483	7.424	0	33.413	41.989
tree469	-71.8679	0.314764	0	0.829878	7.385	0	32.878	41.493
tree470	-75.9078	0.316496	0	0.856849	7.432	0	36.267	44.835
tree471	-65.787	0.300555	0	0.788054	6.516	0	29.471	38.955
tree472	-71.9425	0.324979	0	0.857822	7.455	0	34.462	43.007
tree473	-73.9511	0.310621	0	0.829526	7.37	0	33.787	42.417
tree474	-69.4634	0.323211	0	0.84292	7.457	0	32.047	40.59
tree475	-67.2179	0.299944	0	0.799118	6.512	0	30.508	39.996
tree476	-71.5648	0.312636	0	0.831769	7.407	0	32.937	41.53
tree477	-71.9425	0.324979	0	0.857822	7.474	0	34.472	42.998
tree478	-62.425	0.287484	0	0.753561	6.448	0	26.781	36.333
tree479	-65.4756	0.287161	0	0.773267	6.424	0	28.674	38.25
tree480	-71.9439	0.312326	0	0.827731	7.39	0	32.852	41.462
tree481	-71.5648	0.312636	0	0.831769	7.377	0	32.773	41.396
tree482	-64.4759	0.282386	0	0.752647	6.385	0	27.574	37.189
tree483	-71.5648	0.312636	0	0.831769	7.39	0	32.87	41.48
tree484	-66.1082	0.28125	0	0.760194	6.397	0	28.519	38.122
tree485	-73.2108	0.315562	0	0.837696	7.399	0	33.93	42.531
tree486	-62.425	0.287484	0	0.753561	6.462	0	26.778	36.316
tree487	-67.6379	0.293738	0	0.780525	6.666	0	29.939	39.273
tree488	-71.5648	0.312636	0	0.831769	7.383	0	32.795	41.412
tree489	-65.8073	0.281707	0	0.760745	6.389	0	28.543	38.154
tree490	-70.1408	0.327603	0	0.856982	7.443	0	33.43	41.987
tree491	-65.7739	0.278762	0	0.75647	6.367	0	28.516	38.149
tree492	-65.4756	0.287161	0	0.773267	6.387	0	28.594	38.207
tree493	-66.1044	0.28125	0	0.760194	6.416	0	28.564	38.148
tree494	-64.4759	0.282386	0	0.752647	6.388	0	27.564	37.176
tree495	-67.2179	0.299944	0	0.799118	6.517	0	30.471	39.954
tree496	-65.8073	0.281707	0	0.760745	6.383	0	28.556	38.173
tree497	-67.3318	0.299006	0	0.792975	6.674	0	29.976	39.302
tree498	-65.8073	0.281707	0	0.760745	6.387	0	28.553	38.166
tree499	-66.1044	0.28125	0	0.760194	6.348	0	28.492	38.144
tree500	-65.8073	0.281707	0	0.760745	6.394	0	28.582	38.188
tree501	-67.3318	0.299006	0	0.792975	6.659	0	29.928	39.269
tree502	-72.911	0.317293	0	0.847886	7.421	0	33.967	42.546
tree503	-70.6211	0.316865	0	0.822041	7.401	0	31.838	40.437
tree504	-65.8073	0.281707	0	0.760745	6.414	0	28.622	38.208
tree505	-62.425	0.287484	0	0.753561	6.422	0	26.717	36.295
tree506	-66.1082	0.28125	0	0.760194	6.389	0	28.512	38.123
tree507	-71.5597	0.324325	0	0.867261	7.489	0	34.549	43.06
tree508	-72.911	0.317293	0	0.847886	7.413	0	33.978	42.565
tree509	-73.2108	0.315562	0	0.837696	7.42	0	33.984	42.564
tree510	-65.4756	0.287161	0	0.773267	6.416	0	28.635	38.219
tree511	-65.8073	0.281707	0	0.760745	6.402	0	28.612	38.21
tree512	-65.7774	0.283197	0	0.763737	6.382	0	28.553	38.171
tree513	-65.8073	0.281707	0	0.760745	6.388	0	28.587	38.199
tree514	-73.2108	0.315562	0	0.837696	7.417	0	33.87	42.453
tree515	-65.7774	0.283197	0	0.763737	6.403	0	28.565	38.162
tree516	-67.3318	0.299006	0	0.792975	6.606	0	29.799	39.193
tree517	-71.5171	0.284388	0	0.801241	6.453	0	33.385	42.932
tree518	-73.2108	0.315562	0	0.837696	7.409	0	33.968	42.559
tree519	-67.3318	0.299006	0	0.792975	6.7	0	30.023	39.323
tree520	-68.9356	0.279527	0	0.773923	6.393	0	30.862	40.469
tree521	-72.246	0.309471	0	0.818562	7.423	0	32.904	41.481
