Duplication Transfer Losses Speciations
 	0	6.458	4.49	14.032
 	0	7.37	2.931	11.561
 	0	5.145	4.134	14.989
 	0	4.571	3.964	15.393
 	0	6.698	3.984	13.286
 	0	6.324	4.474	14.15
 	0	6.745	2.977	12.232
 	0	6.386	5.364	14.978
 	0	6.824	3.952	13.128
 	0	6.513	4.383	13.87
 	0.008	4.684	3.767	15.075
 	0	7.982	4.19	12.208
 	0	6.674	3.992	13.318
 	0.001	6.66	1.853	11.192
 	0	7.073	4.52	13.447
 	0.001	6.832	5.092	14.259
 	0	4.519	3.885	15.366
 	0	5.859	4.811	14.952
 	0	8.128	4.143	12.015
 	0	6.749	3.94	13.191
 	0	4.549	3.881	15.332
 	0	6.424	4.452	14.028
 	0	6.308	2.738	12.43
 	0	7.524	3.985	12.461
 	0	5.936	4.827	14.891
 	0	7.117	4.613	13.496
 	0	7.559	4.24	12.681
 	0	4.973	4.197	15.224
 	0.003	7.612	3.402	11.787
 	0	7.135	4.496	13.361
 	0	4.503	3.868	15.365
 	0	7.427	3.16	11.733
 	0	7.57	4.364	12.794
 	0	6.907	3.939	13.032
 	0	7.02	2.592	11.572
 	0	4.54	3.97	15.43
 	0	6.431	3.528	13.097
 	0	7.195	4.596	13.401
 	0	6.992	2.594	11.602
 	0	6.436	3.044	12.608
 	0	6.371	4.425	14.054
 	0	6.441	3.583	13.142
 	0	5.628	4.422	14.794
 	0	6.974	3.987	13.013
 	0.003	6.597	5.622	15.022
 	0	6.421	5.175	14.754
 	0	6.675	3.947	13.272
 	0	7.629	4.397	12.768
 	0	6.22	2.729	12.509
 	0	7.292	4.671	13.379
 	0.002	7.32	2.069	10.747
 	0	7.142	4.671	13.529
 	0	6.18	2.865	12.685
 	0.001	6.866	4.676	13.809
 	0	6.47	4.481	14.011
 	0	8.309	2.939	10.63
 	0	7.672	4.096	12.424
 	0	8.2	5.205	13.005
 	0	6.475	4.421	13.946
 	0	7.485	4.296	12.811
 	0	6.564	4.705	14.141
 	0	5.677	3.966	14.289
 	0	5.064	4.112	15.048
 	0	4.845	4.419	15.574
 	0	7.468	2.784	11.316
 	0	6.445	4.414	13.969
 	0	4.523	3.901	15.378
